time_boot_ms,time_boot_s,luminosity
631360,631.36,0
631490,631.49,0
631620,631.62,0
631770,631.77,0
631900,631.9,0
632030,632.03,0
632160,632.16,0
632290,632.29,0
632420,632.42,0
632550,632.55,0
632690,632.69,0
632820,632.82,0
632950,632.95,0
633100,633.1,0
633230,633.23,0
633370,633.37,0
633500,633.5,0
633630,633.63,0
633760,633.76,0
633890,633.89,0
634030,634.03,0
634160,634.16,0
634290,634.29,0
634430,634.43,0
634570,634.57,0
634700,634.7,0
634830,634.83,0
634970,634.97,0
635100,635.1,0
635230,635.23,0
635390,635.39,0
635520,635.52,0
635650,635.65,0
635780,635.78,0
635910,635.91,0
636040,636.04,0
636170,636.17,0
636300,636.3,0
636430,636.43,0
637290,637.29,0
637420,637.42,0
637560,637.56,0
637690,637.69,0
637820,637.82,0
637950,637.95,0
638110,638.11,0
638240,638.24,0
638380,638.38,0
638510,638.51,0
638640,638.64,0
638770,638.77,0
638900,638.9,0
639070,639.07,0
639200,639.2,0
639330,639.33,0
639470,639.47,0
639600,639.6,0
639730,639.73,0
639860,639.86,0
639990,639.99,0
640120,640.12,0
640250,640.25,0
640380,640.38,0
640510,640.51,0
640640,640.64,0
640780,640.78,0
640910,640.91,0
641040,641.04,0
641170,641.17,0
641300,641.3,0
641430,641.43,0
641580,641.58,0
641710,641.71,0
642060,642.06,0
642190,642.19,0
642330,642.33,0
642460,642.46,0
642590,642.59,0
642740,642.74,0
642880,642.88,0
643010,643.01,0
643140,643.14,0
643290,643.29,0
643420,643.42,0
643550,643.55,0
643700,643.7,0
643830,643.83,0
643960,643.96,0
644090,644.09,0
644220,644.22,0
644350,644.35,0
644480,644.48,0
644610,644.61,0
644740,644.74,0
644870,644.87,0
645010,645.01,0
645140,645.14,0
645290,645.29,0
645430,645.43,0
645560,645.56,0
645690,645.69,0
645830,645.83,0
645960,645.96,0
646090,646.09,0
646220,646.22,0
646360,646.36,0
646490,646.49,0
646620,646.62,0
646750,646.75,0
646880,646.88,0
647010,647.01,0
647140,647.14,0
647290,647.29,0
647420,647.42,0
647560,647.56,0
647700,647.7,0
647830,647.83,0
647970,647.97,0
648100,648.1,0
648240,648.24,0
648370,648.37,0
648500,648.5,0
648630,648.63,0
648770,648.77,0
648900,648.9,0
649040,649.04,0
649170,649.17,0
649300,649.3,0
649430,649.43,0
649560,649.56,0
649690,649.69,0
649840,649.84,0
649980,649.98,0
650110,650.11,0
650240,650.24,0
650380,650.38,0
650510,650.51,0
650640,650.64,0
650790,650.79,0
650920,650.92,0
651050,651.05,0
651180,651.18,0
651310,651.31,0
651450,651.45,0
651580,651.58,0
651720,651.72,0
651850,651.85,0
651980,651.98,0
652110,652.11,0
652250,652.25,0
652380,652.38,0
652510,652.51,0
652640,652.64,0
652790,652.79,0
652920,652.92,0
653060,653.06,0
653190,653.19,0
653340,653.34,0
653470,653.47,0
653600,653.6,0
653730,653.73,0
653860,653.86,0
653990,653.99,0
654120,654.12,0
654270,654.27,0
654410,654.41,0
654540,654.54,0
654670,654.67,0
654800,654.8,0
654930,654.93,0
655060,655.06,0
655190,655.19,0
655320,655.32,0
655450,655.45,0
655580,655.58,0
655720,655.72,0
655850,655.85,0
655980,655.98,0
656110,656.11,0
656240,656.24,0
656370,656.37,0
656510,656.51,0
656640,656.64,0
656790,656.79,0
656940,656.94,0
657080,657.08,0
657210,657.21,0
657340,657.34,0
657470,657.47,0
657600,657.6,0
657730,657.73,0
657860,657.86,0
657990,657.99,0
658120,658.12,0
658250,658.25,0
658400,658.4,0
658530,658.53,0
658660,658.66,0
658790,658.79,0
658920,658.92,0
659050,659.05,0
659180,659.18,0
659310,659.31,0
659440,659.44,0
659570,659.57,0
659710,659.71,0
659840,659.84,0
659980,659.98,0
660110,660.11,0
660240,660.24,0
660400,660.4,0
660530,660.53,0
660660,660.66,0
660790,660.79,0
660920,660.92,0
661060,661.06,0
661190,661.19,0
661320,661.32,0
661460,661.46,0
661590,661.59,0
661720,661.72,0
661850,661.85,0
661980,661.98,0
662110,662.11,0
662240,662.24,0
662410,662.41,0
662550,662.55,0
662680,662.68,0
662810,662.81,0
662940,662.94,0
663070,663.07,0
663200,663.2,0
663330,663.33,0
663460,663.46,0
663590,663.59,0
663730,663.73,0
663880,663.88,0
664010,664.01,0
664140,664.14,0
664290,664.29,0
664420,664.42,0
664550,664.55,0
664680,664.68,0
664810,664.81,0
664940,664.94,0
665080,665.08,0
665210,665.21,0
