time_boot_ms,,press_abs,press_diff,temperature,temperature_c
654270,654.27,994.012451171875,1.10373345771153E-19,3061,30.61
654410,654.41,994.00830078125,1.10373345771153E-19,3061,30.61
654540,654.54,994.016174316406,1.10373345771153E-19,3062,30.62
654670,654.67,994.018859863281,1.10373345771153E-19,3061,30.61
654800,654.8,993.983825683594,1.10373345771153E-19,3060,30.6
654930,654.93,994.031799316406,1.10373345771153E-19,3061,30.61
655060,655.06,994.052185058594,1.10373345771153E-19,3061,30.61
655190,655.19,994.026977539063,1.10373345771153E-19,3060,30.6
655320,655.32,994.023559570313,1.10373345771153E-19,3060,30.6
655450,655.45,994.026611328125,1.10373345771153E-19,3059,30.59
655580,655.58,994.019836425781,1.10373345771153E-19,3059,30.59
655720,655.72,994.033447265625,1.10373345771153E-19,3059,30.59
655850,655.85,993.992614746094,1.10373345771153E-19,3059,30.59
655980,655.98,994.023254394531,1.10373345771153E-19,3059,30.59
656110,656.11,994.037170410156,1.10373345771153E-19,3060,30.6
656240,656.24,994.033752441406,1.10373345771153E-19,3060,30.6
656370,656.37,994.026977539063,1.10373345771153E-19,3060,30.6
656510,656.51,994.044311523438,1.10373345771153E-19,3060,30.6
656640,656.64,994.034118652344,1.10373345771153E-19,3060,30.6
656790,656.79,994.023559570313,1.10373345771153E-19,3060,30.6
656940,656.94,993.998718261719,1.10373345771153E-19,3059,30.59
657080,657.08,994.008911132813,1.10373345771153E-19,3059,30.59
657210,657.21,993.987854003906,1.10373345771153E-19,3058,30.58
657340,657.34,994.039184570313,1.10373345771153E-19,3059,30.59
657470,657.47,993.984436035156,1.10373345771153E-19,3058,30.58
657600,657.6,994.021118164063,1.10373345771153E-19,3058,30.58
657730,657.73,994.044921875,1.10373345771153E-19,3058,30.58
657860,657.86,994.011291503906,1.10373345771153E-19,3058,30.58
657990,657.99,993.996643066406,1.10373345771153E-19,3057,30.57
658120,658.12,994.017028808594,1.10373345771153E-19,3057,30.57
658250,658.25,994.062622070313,1.10373345771153E-19,3058,30.58
658400,658.4,993.989868164062,1.10373345771153E-19,3057,30.57
658530,658.53,993.990173339844,1.10373345771153E-19,3058,30.58
658660,658.66,993.997314453125,1.10373345771153E-19,3058,30.58
658790,658.79,993.969787597656,1.10373345771153E-19,3058,30.58
658920,658.92,994.011657714844,1.10373345771153E-19,3058,30.58
659050,659.05,994.018432617188,1.10373345771153E-19,3058,30.58
659180,659.18,994.011962890625,1.10373345771153E-19,3059,30.59
659310,659.31,994.032348632813,1.10373345771153E-19,3059,30.59
659440,659.44,993.997009277344,1.10373345771153E-19,3058,30.58
659570,659.57,993.992919921875,1.10373345771153E-19,3057,30.57
659710,659.71,994.000732421875,1.10373345771153E-19,3058,30.58
659840,659.84,993.972839355469,1.10373345771153E-19,3057,30.57
659980,659.98,994.011291503906,1.10373345771153E-19,3058,30.58
660110,660.11,994.031005859375,1.10373345771153E-19,3058,30.58
660240,660.24,993.999694824219,1.10373345771153E-19,3057,30.57
660400,660.4,994.037780761719,1.10373345771153E-19,3058,30.58
660530,660.53,994.022766113281,1.10373345771153E-19,3057,30.57
660660,660.66,994.024536132813,1.10373345771153E-19,3058,30.58
660790,660.79,994.001342773437,1.10373345771153E-19,3056,30.56
660920,660.92,994.012268066406,1.10373345771153E-19,3056,30.56
661060,661.06,993.974182128906,1.10373345771153E-19,3056,30.56
661190,661.19,994.042846679688,1.10373345771153E-19,3056,30.56
661320,661.32,994.043151855469,1.10373345771153E-19,3057,30.57
661460,661.46,993.999694824219,1.10373345771153E-19,3057,30.57
661590,661.59,993.998291015625,1.10373345771153E-19,3056,30.56
661720,661.72,993.987731933594,1.10373345771153E-19,3056,30.56
661850,661.85,993.974487304688,1.10373345771153E-19,3056,30.56
661980,661.98,993.974853515625,1.10373345771153E-19,3056,30.56
662110,662.11,993.989501953125,1.10373345771153E-19,3057,30.57
662240,662.24,993.99560546875,1.10373345771153E-19,3057,30.57
662410,662.41,993.961608886719,1.10373345771153E-19,3057,30.57
662550,662.55,994.013305664063,1.10373345771153E-19,3057,30.57
662680,662.68,993.981628417969,1.10373345771153E-19,3056,30.56
662810,662.81,993.971130371094,1.10373345771153E-19,3056,30.56
662940,662.94,994.01904296875,1.10373345771153E-19,3056,30.56
663070,663.07,993.984375,1.10373345771153E-19,3056,30.56
